B01/Test_1/SoC10% | $DEVIJACIJA | Impedansa odstupila od proseka:25.43063% | [25.4306313068439] | [25]
B01/Test_1/SoC10% | $DEVIJACIJA | Impedansa odstupila od proseka:26.06368% | [26.0636784107022] | [25]
B01/Test_1/SoC10% | $DEVIJACIJA | Impedansa odstupila od proseka:26.47241% | [26.4724103127614] | [25]
B01/Test_1/SoC10% | $DEVIJACIJA | Impedansa odstupila od proseka:25.99329% | [25.9932900129088] | [25]
B01/Test_1/SoC10% | $DEVIJACIJA | Impedansa odstupila od proseka:25.14872% | [25.1487218650795] | [25]
B01/Test_1/SoC10% | $DEVIJACIJA | Impedansa odstupila od proseka:26.29343% | [26.2934339948328] | [25]
B01/Test_1/SoC10% | $DEVIJACIJA | Impedansa odstupila od proseka:26.67098% | [26.6709838310273] | [25]
B01/Test_1/SoC10% | $DEVIJACIJA | Impedansa odstupila od proseka:28.44494% | [28.4449366656203] | [25]
B01/Test_1/SoC10% | $DEVIJACIJA | Impedansa odstupila od proseka:28.73135% | [28.7313477648995] | [25]
B01/Test_1/SoC10% | $DEVIJACIJA | Impedansa odstupila od proseka:28.77282% | [28.7728249468407] | [25]
B01/Test_1/SoC10% | $DEVIJACIJA | Impedansa odstupila od proseka:28.32116% | [28.3211566646805] | [25]
B01/Test_1/SoC10% | $DEVIJACIJA | Impedansa odstupila od proseka:30.52749% | [30.5274882926796] | [25]
B01/Test_1/SoC10% | $DEVIJACIJA | Impedansa odstupila od proseka:31.56862% | [31.5686204749546] | [25]
B01/Test_1/SoC10% | $DEVIJACIJA | Impedansa odstupila od proseka:33.12450% | [33.1245043531672] | [25]
B01/Test_1/SoC10% | $DEVIJACIJA | Impedansa odstupila od proseka:34.52576% | [34.5257567291127] | [25]
B01/Test_1/SoC10% | $DEVIJACIJA | Impedansa odstupila od proseka:34.76502% | [34.7650235846715] | [25]
B01/Test_1/SoC15% | $DEVIJACIJA | Impedansa odstupila od proseka:25.22469% | [25.2246888518992] | [25]
B01/Test_1/SoC15% | $DEVIJACIJA | Impedansa odstupila od proseka:25.20550% | [25.20549748029] | [25]
B01/Test_1/SoC15% | $DEVIJACIJA | Impedansa odstupila od proseka:25.60534% | [25.6053400189371] | [25]
B01/Test_1/SoC15% | $DEVIJACIJA | Impedansa odstupila od proseka:27.46395% | [27.4639525485471] | [25]
B01/Test_1/SoC15% | $DEVIJACIJA | Impedansa odstupila od proseka:27.77389% | [27.7738865140144] | [25]
B01/Test_1/SoC15% | $DEVIJACIJA | Impedansa odstupila od proseka:27.83051% | [27.8305111482057] | [25]
B01/Test_1/SoC15% | $DEVIJACIJA | Impedansa odstupila od proseka:27.43908% | [27.4390754384963] | [25]
B01/Test_1/SoC15% | $DEVIJACIJA | Impedansa odstupila od proseka:29.76633% | [29.766333126083] | [25]
